Time,Action,Data
2018/01/15 21:08:00,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_4conds/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/15 21:17:27,Expire,
2018/01/15 21:18:26,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_4conds/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/15 21:30:34,Add,10 assignments
2018/01/15 21:35:18,Add,10 assignments
2018/01/15 21:44:07,Add,10 assignments
2018/01/15 21:47:59,Add,10 assignments
2018/01/15 21:53:29,Add,10 assignments
2018/01/15 22:03:36,Add,10 assignments
2018/01/15 22:10:03,Add,10 assignments
2018/01/15 22:15:10,Add,5 assignments
2018/01/15 22:19:57,Add,5 assignments
2018/01/15 22:24:13,Add,5 assignments
2018/01/15 22:27:26,Add,5 assignments
2018/01/15 22:36:42,Add,5 assignments
