Time,Action,Data
2018/01/16 15:36:03,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (1-2 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_priors/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.25, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/16 15:57:52,Expire,
2018/01/16 15:58:48,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (1-2 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_priors/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.25, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/16 16:10:06,Add,20 assignments
2018/01/18 15:18:16,Add,1 day
2018/01/18 15:18:34,Add,20 assignments
2018/01/18 15:20:18,Add,1 day
