Time,Action,Data
2018/01/18 12:16:31,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_4conds/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/18 12:23:03,Expire,
2018/01/18 12:24:51,Expire,
2018/01/18 12:26:18,Create,"{'title': 'Toy Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_4conds/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/18 12:28:02,Add,10 assignments
2018/01/18 12:31:00,Add,10 assignments
2018/01/18 12:33:43,Add,10 assignments
2018/01/18 12:44:39,Add,10 assignments
2018/01/18 12:47:09,Add,10 assignments
2018/01/18 12:48:11,Add,10 assignments
2018/01/18 12:50:32,Add,10 assignments
2018/01/18 12:51:35,Add,10 assignments
2018/01/18 12:54:40,Add,10 assignments
2018/01/18 13:05:37,Add,10 assignments
2018/01/18 13:11:11,Add,10 assignments
2018/01/18 13:22:21,Add,10 assignments
2018/01/18 13:26:07,Add,10 assignments
2018/01/18 13:30:57,Add,10 assignments
2018/01/18 13:32:40,Add,10 assignments
2018/01/18 13:39:48,Add,10 assignments
2018/01/18 13:58:30,Add,5 assignments
2018/01/18 14:08:01,Add,5 assignments
2018/01/18 14:09:07,Add,5 assignments
2018/01/18 14:20:01,Add,5 assignments
2018/01/18 14:22:52,Add,5 assignments
2018/01/18 14:24:22,Add,5 assignments
