Time,Action,Data
2018/01/14 13:29:22,Create,"{'title': 'Music Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_ver2/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/14 15:15:30,Expire,
2018/01/14 15:30:27,Create,"{'title': 'Music Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_ver2/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/14 15:48:46,Add,19 assignments
2018/01/14 16:03:03,Add,20 assignments
2018/01/14 16:10:36,Add,10 assignments
2018/01/14 16:16:13,Add,5 assignments
2018/01/14 16:18:05,Add,5 assignments
2018/01/14 16:20:37,Add,5 assignments
