Time,Action,Data
2018/01/05 13:24:40,Create,"{'title': 'Music Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/05 13:32:04,Expire,
2018/01/05 13:33:52,Create,"{'title': 'Music Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/05 13:50:30,Add,10 assignments
2018/01/05 13:57:42,Add,10 assignments
2018/01/05 14:04:04,Add,5 assignments
2018/01/05 14:07:28,Add,5 assignments
