Time,Action,Data
2018/01/14 11:14:04,Create,"{'title': 'Music Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_ver2/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/14 12:07:59,Expire,
2018/01/14 12:13:21,Create,"{'title': 'Music Box Game', 'description': 'A simple game about decision making (3-5 minutes)', 'keywords': 'decision making, toy', 'url': 'https://web.stanford.edu/group/langcog/cgi-bin/KM/soc-info-expts/goal_actions_ver2/soc_info_goals.html', 'frame_height': 600, 'assignment_duration': '1 hour', 'auto_approval_delay': '5 minutes', 'reward': 0.45, 'qualifications': {'location': 'US', 'approval_percentage': 85}}"
2018/01/14 12:38:34,Add,19 assignments
