id,final_toy_type,assignment_id,goal_condition,social_condition,complete_time_min,browser,os,screen_w,screen_h,condition,ip,language,enjoyment,asses,age,gender,education,comments,trial_type,toy,toy_type,train_attempt_num,action,success,rt,trial_num,why_toy
1,learning,304SM51WA34HRGX90JNLUEATMNKBS4,activation,social,16.92155,Chrome,Windows,1366,768,social-activation,204.16.247.148,English,Better than average,Yes,29,Male,Graduated College,Good,activation,cyl-lever.png,right-lever,1,left-lever,FALSE,6689,1,NA
1,learning,304SM51WA34HRGX90JNLUEATMNKBS4,activation,social,16.92155,Chrome,Windows,1366,768,social-activation,204.16.247.148,English,Better than average,Yes,29,Male,Graduated College,Good,activation,cyl-lever.png,right-lever,2,right-lever,TRUE,3279,2,NA
1,learning,304SM51WA34HRGX90JNLUEATMNKBS4,activation,social,16.92155,Chrome,Windows,1366,768,social-activation,204.16.247.148,English,Better than average,Yes,29,Male,Graduated College,Good,activation,cyl-lever.png,right-lever,3,right-lever,TRUE,4801,3,NA
1,learning,304SM51WA34HRGX90JNLUEATMNKBS4,activation,social,16.92155,Chrome,Windows,1366,768,social-activation,204.16.247.148,English,Better than average,Yes,29,Male,Graduated College,Good,presentation,tri-button.png,left-button,1,right-button,FALSE,5309,4,NA
1,learning,304SM51WA34HRGX90JNLUEATMNKBS4,activation,social,16.92155,Chrome,Windows,1366,768,social-activation,204.16.247.148,English,Better than average,Yes,29,Male,Graduated College,Good,presentation,tri-button.png,left-button,2,left-button,TRUE,3156,5,NA
1,learning,304SM51WA34HRGX90JNLUEATMNKBS4,activation,social,16.92155,Chrome,Windows,1366,768,social-activation,204.16.247.148,English,Better than average,Yes,29,Male,Graduated College,Good,presentation,tri-button.png,left-button,3,left-button,TRUE,2697,6,NA
1,learning,304SM51WA34HRGX90JNLUEATMNKBS4,activation,social,16.92155,Chrome,Windows,1366,768,social-activation,204.16.247.148,English,Better than average,Yes,29,Male,Graduated College,Good,final_toy_choice,cube-spinner.png,na,na,na,NA,29797,7,squre
2,presentation,308Q0PEVB8D999FGXNFBZ69GPO39IM,activation,social,1.77805,Chrome,Windows,1920,1080,social-activation,47.34.130.38,English,Average,Yes,39,Male,Graduated College,No.,activation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,3295,1,NA
2,presentation,308Q0PEVB8D999FGXNFBZ69GPO39IM,activation,social,1.77805,Chrome,Windows,1920,1080,social-activation,47.34.130.38,English,Average,Yes,39,Male,Graduated College,No.,activation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,1904,2,NA
2,presentation,308Q0PEVB8D999FGXNFBZ69GPO39IM,activation,social,1.77805,Chrome,Windows,1920,1080,social-activation,47.34.130.38,English,Average,Yes,39,Male,Graduated College,No.,activation,cube-spinner.png,right-spinner,3,right-spinner,TRUE,1419,3,NA
