id,condition,action_response,prior_hypothesis,prior_beliefs,posterior_hypothesis,posterior_beliefs,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,comment,age,gender,first_language,experiment_time,action_trial_time
1,performance,purple,Purple and Orange,26,Orange,73,Safari,1205,600,1280,800,FALSE,not sure,nope,29,m,english,56.834,4.145
1,performance,purple,Purple,78,Purple,89,Safari,1205,600,1280,800,FALSE,not sure,nope,29,m,english,56.834,4.145
1,performance,purple,Orange,74,Purple and Orange,2,Safari,1205,600,1280,800,FALSE,not sure,nope,29,m,english,56.834,4.145
2,learning,purple,Purple and Orange,34,Purple,50,Chrome,1344,600,1280,800,FALSE,learning about a toy,all good,29,m,english,72.421,11.963
2,learning,purple,Orange,65,Purple and Orange,7,Chrome,1344,600,1280,800,FALSE,learning about a toy,all good,29,m,english,72.421,11.963
2,learning,purple,Purple,65,Orange,67,Chrome,1344,600,1280,800,FALSE,learning about a toy,all good,29,m,english,72.421,11.963
