id,final_toy_type,assignment_id,goal_condition,social_condition,complete_time_min,browser,os,screen_w,screen_h,condition,ip,language,enjoyment,asses,age,gender,education,comments,trial_type,toy,toy_type,train_attempt_num,action,success,rt,trial_num,why_toy
1,presentation,3FPRZHYEPY7Z40QXTOQNP0UT8KVV3C,activation,no_social,1.35925,Chrome,Mac,1440,900,no_social-activation,104.152.232.173,English,Average,Yes,31,Male,Hold a higher degree,No issues,activation,tri-button.png,right-button,1,left-button,FALSE,3095,1,NA
1,presentation,3FPRZHYEPY7Z40QXTOQNP0UT8KVV3C,activation,no_social,1.35925,Chrome,Mac,1440,900,no_social-activation,104.152.232.173,English,Average,Yes,31,Male,Hold a higher degree,No issues,activation,tri-button.png,right-button,2,right-button,TRUE,1169,2,NA
1,presentation,3FPRZHYEPY7Z40QXTOQNP0UT8KVV3C,activation,no_social,1.35925,Chrome,Mac,1440,900,no_social-activation,104.152.232.173,English,Average,Yes,31,Male,Hold a higher degree,No issues,activation,tri-button.png,right-button,3,right-button,TRUE,1576,3,NA
1,presentation,3FPRZHYEPY7Z40QXTOQNP0UT8KVV3C,activation,no_social,1.35925,Chrome,Mac,1440,900,no_social-activation,104.152.232.173,English,Average,Yes,31,Male,Hold a higher degree,No issues,presentation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,2053,4,NA
1,presentation,3FPRZHYEPY7Z40QXTOQNP0UT8KVV3C,activation,no_social,1.35925,Chrome,Mac,1440,900,no_social-activation,104.152.232.173,English,Average,Yes,31,Male,Hold a higher degree,No issues,presentation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,902,5,NA
1,presentation,3FPRZHYEPY7Z40QXTOQNP0UT8KVV3C,activation,no_social,1.35925,Chrome,Mac,1440,900,no_social-activation,104.152.232.173,English,Average,Yes,31,Male,Hold a higher degree,No issues,presentation,cube-spinner.png,right-spinner,3,right-spinner,TRUE,1037,6,NA
1,presentation,3FPRZHYEPY7Z40QXTOQNP0UT8KVV3C,activation,no_social,1.35925,Chrome,Mac,1440,900,no_social-activation,104.152.232.173,English,Average,Yes,31,Male,Hold a higher degree,No issues,final_toy_choice,tri-button.png,na,na,na,NA,14694,7,i know how to make it play music
